directorio,sex,female,age,max_educ_level,total_hours_worked,estrato1,micro_empresa,formal,tipo_ocup,size_firm,oficio,college,ingtot,y_ing_lab_m,y_ing_lab_m_ha,y_salary_m,y_salary_m_hu,y_total_m,y_total_m_ha
4514438,0,1,57,4,40,3,1,1,3,1,54,0,1300000,1300000,7583.33349609375,1200000,7000,1300000,7583.33349609375
4514440,1,0,43,6,65,3,1,0,1,2,84,1,800000,800000,2871.794921875,800000,2871.794921875,800000,2871.794921875
4514442,1,0,42,7,48,2,0,1,1,5,58,0,1403806.66666667,1403806.625,6824.06005859375,1200000,5833.33349609375,1403806.625,6824.06005859375
4514446,0,1,26,7,60,4,1,0,1,2,45,0,3000000,3000000,11666.6669921875,3000000,11666.6669921875,3000000,11666.6669921875
4514448,1,0,22,6,48,2,0,1,1,4,58,1,820857,820857,3990.27709960938,737717,3586.12426757812,820857,3990.27709960938
4514449,0,1,41,7,48,3,0,1,1,5,39,0,3250000,3250000,15798.611328125,3000000,14583.3330078125,3250000,15798.611328125
4514450,0,1,44,6,48,2,0,1,1,5,90,1,1254000,1254000,6095.83349609375,900000,4375,1254000,6095.83349609375
4514450,1,0,21,7,48,2,0,1,1,5,55,0,1383140,1383140,6723.59716796875,1200000,5833.33349609375,1383140,6723.59716796875
4514450,1,0,19,6,48,2,0,1,2,5,58,1,500000,500000,2430.5556640625,500000,2430.5556640625,500000,2430.5556640625
4514450,0,1,39,7,98,2,0,1,1,3,79,0,991333.416666667,991333.4375,2360.31762695312,737717,3586.12426757812,991333.4375,2360.31762695312
4514451,1,0,19,6,70,2,0,1,2,5,58,1,300000,300000,1000,300000,1000,300000,1000
4514452,1,0,59,7,48,4,1,1,1,2,3,0,8272166.66666667,7892291.787500022,38811.921875,7000000,35826.390625,7892291.787500022,38811.921875
4514452,0,1,53,7,48,4,1,1,1,2,51,0,1260394.16666667,972394.1875,4726.916015625,820850,3990.2431640625,972394.1875,4726.916015625
4514453,0,1,51,7,63,4,0,1,2,5,21,0,8518125.00000001,7892291.787500022,41470.340820312515,7000000,37333.33203125,7892291.787500022,41470.340820312515
4514454,1,0,31,7,48,4,1,1,1,2,2,0,2683333.33333333,2683333.25,13043.9814453125,2500000,12152.77734375,2683333.25,13043.9814453125
4514454,0,1,28,7,36,4,0,1,1,5,39,0,1623333.33333333,1623333.375,10521.60546875,1490000,9657.4072265625,1623333.375,10521.60546875
4514456,1,0,26,7,48,3,0,1,1,4,2,0,1300000,1300000,6319.4443359375,1300000,6319.4443359375,1300000,6319.4443359375
4514457,0,1,57,7,40,2,0,1,2,5,13,0,1550000,1550000,9041.6669921875,1550000,9041.6669921875,1550000,9041.6669921875
4514458,0,1,49,7,60,3,1,1,1,2,77,0,600000,600000,2333.33325195312,600000,2333.33325195312,600000,2333.33325195312
4514459,0,1,58,7,48,2,0,1,2,5,39,0,3375000,3375000,16406.25,3000000,14583.3330078125,3375000,16406.25
4514460,1,0,25,6,48,3,0,1,1,4,87,1,1033357,883357,4294.0966796875,737717,3586.12426757812,883357,4294.0966796875
4514463,0,1,26,7,48,3,0,1,1,5,2,0,2837333.33333333,2654000,12901.388671875,2000000,9722.22265625,2654000,12901.388671875
4514466,1,0,51,6,48,3,1,0,1,2,91,1,1500000,1500000,7291.66650390625,1500000,7291.66650390625,1500000,7291.66650390625
4514467,1,0,45,6,70,3,1,1,1,2,98,1,781000,781000,2603.33325195312,781000,2603.33325195312,781000,2603.33325195312
4514468,1,0,38,6,48,2,0,1,1,4,98,1,916666.666666667,916666.6875,4456.0185546875,850000,4131.9443359375,916666.6875,4456.0185546875
4514470,1,0,36,7,54,3,0,1,2,5,8,0,5287500,5287500,22847.22265625,4700000,20308.642578125,5287500,22847.22265625
4514471,1,0,20,5,50,1,1,0,1,2,98,0,650000,500000,2333.33325195312,500000,2333.33325195312,500000,2333.33325195312
4514472,0,1,53,7,56,4,0,1,1,5,6,0,8518125.00000001,7892291.787500022,41470.340820312515,7000000,37333.33203125,7892291.787500022,41470.340820312515
4514474,1,0,22,6,72,2,0,1,1,5,39,1,820857,820857,2660.18481445312,737717,2390.74951171875,820857,2660.18481445312
4514475,1,0,46,4,48,1,1,1,1,2,95,0,820857,820857,3990.27709960938,737717,3586.12426757812,820857,3990.27709960938
4514476,1,0,18,6,54,1,1,1,1,2,89,1,862357,862357,3726.23388671875,737717,3187.666015625,862357,3726.23388671875
4514477,0,1,27,6,48,2,0,1,1,5,79,1,849857,849857,4131.24951171875,737717,3586.12426757812,849857,4131.24951171875
4514477,0,1,52,7,48,2,0,1,1,5,59,0,1226473.33333333,1226473.375,5962.0234375,1000000,4861.111328125,1226473.375,5962.0234375
4514479,0,1,55,6,48,2,1,0,3,1,54,1,550000,250000,1215.27783203125,250000,1215.27783203125,250000,1215.27783203125
4514480,1,0,37,7,48,2,0,1,1,5,19,0,1300000,1300000,6319.4443359375,1300000,6319.4443359375,1300000,6319.4443359375
4514481,1,0,63,3,48,1,0,1,1,5,83,0,833333.333333333,833333.3125,4050.92578125,800000,3888.88891601562,833333.3125,4050.92578125
4514483,0,1,49,4,30,2,1,0,3,1,54,0,750000,600000,4666.66650390625,600000,4666.66650390625,600000,4666.66650390625
4514483,1,0,22,6,48,2,0,0,1,3,59,1,850000,850000,4131.9443359375,850000,4131.9443359375,850000,4131.9443359375
4514484,1,0,44,7,48,2,0,1,1,5,36,0,1155000,975000,4739.58349609375,900000,4375,975000,4739.58349609375
4514485,1,0,23,6,48,1,0,1,1,5,39,1,850023.666666667,850023.6875,4132.0595703125,737717,3586.12426757812,850023.6875,4132.0595703125
4514485,1,0,28,3,60,1,0,0,1,5,39,0,700000,700000,2722.22216796875,700000,2722.22216796875,700000,2722.22216796875
4514488,1,0,41,5,48,1,0,1,1,4,58,0,820857,820857,3990.27709960938,737717,3586.12426757812,820857,3990.27709960938
4514489,1,0,45,6,48,2,0,1,1,5,98,1,1087140,1087140,5284.70849609375,900000,4375,1087140,5284.70849609375
4514489,0,1,44,6,45,2,1,1,1,2,32,1,1025640,1025640,5318.13330078125,870000,4511.111328125,1025640,5318.13330078125
4514490,1,0,40,7,50,2,0,1,1,3,21,0,1266666.66666667,1266666.625,5911.11083984375,1200000,5600,1266666.625,5911.11083984375
4514490,0,1,34,7,45,2,0,1,1,5,3,0,1132300,1132300,5871.18505859375,900000,4666.66650390625,1132300,5871.18505859375
4514491,1,0,26,6,60,3,1,1,1,2,33,1,866690.333333333,866690.3125,3370.46240234375,737717,2868.8994140625,866690.3125,3370.46240234375
4514491,0,1,23,6,40,3,0,1,1,5,55,1,941357,941357,5491.2490234375,737717,4303.34912109375,941357,5491.2490234375
4514492,1,0,44,4,45,3,0,0,1,3,51,0,950000,800000,4148.14794921875,800000,4148.14794921875,800000,4148.14794921875
4514494,0,1,20,6,48,3,1,0,1,2,45,1,900000,900000,4375,900000,4375,900000,4375
4514494,1,0,44,4,48,3,1,1,1,2,45,0,911333.416666667,911333.4375,4430.09326171875,737717,3586.12426757812,911333.4375,4430.09326171875
4514494,1,0,20,5,50,3,1,0,1,2,45,0,900000,900000,4200,900000,4200,900000,4200
4514494,1,0,21,6,48,3,0,1,1,4,92,1,1316473.33333333,1316473.375,6399.5234375,1000000,4861.111328125,1316473.375,6399.5234375
4514497,0,1,38,6,28,2,1,0,1,2,51,1,500000,500000,4166.66650390625,500000,4166.66650390625,500000,4166.66650390625
4514497,1,0,43,6,40,2,0,0,1,4,37,1,800000,800000,4666.66650390625,800000,4666.66650390625,800000,4666.66650390625
4514498,1,0,32,6,48,2,1,1,1,2,45,1,1000000,1000000,4861.111328125,1000000,4861.111328125,1000000,4861.111328125
4514500,0,1,51,4,50,2,1,1,3,1,54,0,1095690.33333333,1095690.25,5113.22119140625,737717,4303.34912109375,1095690.25,5113.22119140625
4514500,0,1,19,6,24,2,1,0,1,2,53,1,160000,160000,1555.55554199219,160000,1555.55554199219,160000,1555.55554199219
4514501,0,1,38,4,60,2,0,1,1,3,53,0,1286473.33333333,1166473.375,4536.28515625,1000000,3888.88891601562,1166473.375,4536.28515625
4514501,1,0,43,4,54,2,0,1,1,5,87,0,754383.666666667,754383.6875,3259.6826171875,737717,3187.666015625,754383.6875,3259.6826171875
4514502,1,0,54,6,40,2,0,1,1,5,98,1,1070857,920857,5371.666015625,737717,4303.34912109375,920857,5371.666015625
4514507,1,0,21,6,48,2,0,1,1,5,56,1,737717,737717,3586.12426757812,737717,3586.12426757812,737717,3586.12426757812
4514511,0,1,43,6,50,2,1,1,3,1,54,1,1032333.41666667,882333.4375,4117.55615234375,737717,3442.67944335938,882333.4375,4117.55615234375
4514512,0,1,37,4,40,2,1,0,1,2,45,0,300000,300000,1750,300000,1750,300000,1750
4514512,0,1,24,7,30,2,1,0,1,2,53,0,240000,240000,1866.66662597656,240000,1866.66662597656,240000,1866.66662597656
4514514,0,1,43,6,46,2,0,1,1,4,55,1,1080857,1080857,5482.60791015625,737717,4303.34912109375,1080857,5482.60791015625
4514514,1,0,43,7,48,2,0,1,1,5,33,0,1820333.41666667,1270333.375,6175.2314453125,737717,3586.12426757812,1270333.375,6175.2314453125
4514515,1,0,33,6,50,2,0,0,1,3,95,1,800000,800000,3733.33325195312,800000,3733.33325195312,800000,3733.33325195312
4514516,0,1,32,7,40,2,0,1,1,5,6,0,3075000,3075000,17937.5,2900000,16916.666015625,3075000,17937.5
4514518,1,0,52,6,48,2,0,1,1,5,98,1,2117140,1737140,8444.4306640625,1500000,7291.66650390625,1737140,8444.4306640625
4514518,0,1,23,7,43,2,0,1,1,4,33,0,1166473.33333333,1166473.375,6329.70068359375,1000000,5426.3564453125,1166473.375,6329.70068359375
4514519,1,0,35,6,72,1,0,1,1,5,98,1,1389193.41666667,859193.4375,2784.42309570312,737717,2390.74951171875,859193.4375,2784.42309570312
4514520,0,1,23,6,48,1,0,1,1,5,55,1,911333.416666667,911333.4375,4430.09326171875,737717,3586.12426757812,911333.4375,4430.09326171875
4514521,0,1,21,7,72,1,0,0,1,4,59,0,800000,800000,2592.59252929688,800000,2592.59252929688,800000,2592.59252929688
4514538,0,1,41,7,84,2,0,1,1,4,59,0,1441333.41666667,1441333.5,4003.7041015625,737717,3586.12426757812,1441333.5,4003.7041015625
4514538,1,0,54,5,48,2,0,1,1,3,97,0,882333.416666667,882333.4375,4289.12109375,737717,3586.12426757812,882333.4375,4289.12109375
4514542,1,0,23,7,48,4,0,1,1,5,42,0,2166666.66666667,2166666.75,10532.408203125,2000000,9722.22265625,2166666.75,10532.408203125
4514549,1,0,57,6,40,2,1,0,1,2,45,1,1350000,800000,4666.66650390625,800000,4666.66650390625,800000,4666.66650390625
4521221,0,1,33,7,32,5,0,1,1,5,6,0,8518125.00000001,7892291.787500022,41470.340820312515,7000000,37333.33203125,7892291.787500022,41470.340820312515
4521222,1,0,63,6,40,3,1,0,3,1,98,1,600000,600000,3500,600000,3500,600000,3500
4521223,1,0,41,7,48,5,0,1,1,5,21,0,8518125.00000001,7892291.787500022,41470.340820312515,7000000,37333.33203125,7892291.787500022,41470.340820312515
4521223,0,1,38,7,48,5,0,1,1,5,30,0,8518125.00000001,7892291.787500022,41470.340820312515,7000000,37333.33203125,7892291.787500022,41470.340820312515
4521228,0,1,49,5,48,3,1,0,3,1,54,0,900000,900000,4375,900000,4375,900000,4375
